filename,width,height,class,xmin,ymin,xmax,ymax
Apple Braeburn/85_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/86_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/87_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/88_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/89_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/8_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/90_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/91_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/92_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/93_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/94_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/95_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/96_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/97_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/98_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/99_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/9_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_321_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_322_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_323_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_324_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_325_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_326_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_327_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_32_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_33_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_34_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_35_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_36_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_37_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_38_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_39_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_3_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_40_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_41_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_42_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_43_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_44_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_45_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_46_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_47_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_48_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_49_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_4_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_50_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_51_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_52_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_53_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_54_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_55_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_56_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_57_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_58_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_59_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_5_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_60_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_61_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_62_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_63_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_64_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_65_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_66_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_67_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_68_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_69_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_6_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_70_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_71_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_72_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_73_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_74_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_75_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_76_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_77_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_78_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_79_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_7_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_80_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_81_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_82_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_83_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_84_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_85_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_86_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_87_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_88_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_89_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_8_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_90_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_91_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_92_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_93_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_94_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_95_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_96_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_97_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_98_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_99_100.jpg,100,100,apple,0,0,100,100
Apple Braeburn/r_9_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/100_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/101_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/102_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/103_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/104_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/105_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/106_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/107_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/108_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/109_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/110_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/112_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/113_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/114_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/115_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/116_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/117_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/118_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/119_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/120_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/121_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/122_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/123_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/124_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/125_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/126_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/127_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/128_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/129_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/130_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/131_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/132_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/133_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/134_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/135_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/136_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/137_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/138_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/139_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/140_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/141_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/142_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/143_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/144_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/145_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/146_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/147_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/148_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/149_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/150_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/151_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/152_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/153_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/154_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/155_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/80_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/81_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/83_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/84_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/85_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/86_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/87_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/88_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/89_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/90_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/91_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/92_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/93_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/94_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/95_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/96_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/97_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/98_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/99_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_105_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_106_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_111_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_112_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_113_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_114_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_115_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_116_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_117_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_118_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_120_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_121_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_122_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_123_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_124_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_13_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_14_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_15_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_16_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_17_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_183_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_184_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_18_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_19_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_20_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_21_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_22_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_23_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_24_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_25_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_26_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_27_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_28_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_29_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_30_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_31_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_32_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_33_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_34_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_35_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_36_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_37_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_38_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_39_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_40_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_41_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_42_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_43_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_44_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_45_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_46_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_47_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_48_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_49_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_50_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_51_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_52_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_53_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_54_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_55_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_56_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_57_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_58_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_59_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_60_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_61_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_62_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_63_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_64_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_65_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_66_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_67_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_69_100.jpg,100,100,apple,0,0,100,100
Apple Crimson Snow/r_71_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/100_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/101_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/102_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/103_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/104_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/105_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/106_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/107_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/108_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/109_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/110_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/111_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/112_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/113_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/114_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/115_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/116_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/117_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/118_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/119_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/120_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/121_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/122_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/123_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/124_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/125_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/126_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/127_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/128_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/129_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/130_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/131_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/132_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/133_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/134_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/135_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/136_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/137_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/138_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/139_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/140_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/141_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/142_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/143_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/144_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/145_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/146_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/149_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/150_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/63_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/72_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/73_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/74_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/75_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/76_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/77_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/78_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/79_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/80_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/81_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/82_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/83_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/84_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/85_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/86_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/87_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/88_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/89_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/90_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/91_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/92_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/93_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/94_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/95_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/96_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/97_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/98_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/99_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_321_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_322_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_323_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_324_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_325_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_326_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_327_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_32_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_33_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_34_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_35_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_36_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_37_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_38_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_39_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_3_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_40_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_41_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_42_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_43_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_44_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_45_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_46_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_47_100.jpg,100,100,apple,0,0,100,100
Apple Golden 1/r_48_100.jpg,100,100,apple,0,0,100,100
